GEO_ID,NAME,S1810_C01_001E
37001,"Alamance County, North Carolina",162195
37003,"Alexander County, North Carolina",35908
37005,"Alleghany County, North Carolina",10896
37007,"Anson County, North Carolina",23128
37009,"Ashe County, North Carolina",26597
37011,"Avery County, North Carolina",14884
37013,"Beaufort County, North Carolina",46791
37015,"Bertie County, North Carolina",18105
37017,"Bladen County, North Carolina",33117
37019,"Brunswick County, North Carolina",130804
37021,"Buncombe County, North Carolina",253150
37023,"Burke County, North Carolina",87554
37025,"Cabarrus County, North Carolina",205208
37027,"Caldwell County, North Carolina",81040
37029,"Camden County, North Carolina",10396
37031,"Carteret County, North Carolina",67596
37033,"Caswell County, North Carolina",21730
37035,"Catawba County, North Carolina",156051
37037,"Chatham County, North Carolina",70728
37039,"Cherokee County, North Carolina",27657
37041,"Chowan County, North Carolina",13824
37043,"Clay County, North Carolina",10922
37045,"Cleveland County, North Carolina",97038
37047,"Columbus County, North Carolina",53109
37049,"Craven County, North Carolina",94907
37051,"Cumberland County, North Carolina",301989
37053,"Currituck County, North Carolina",25929
37055,"Dare County, North Carolina",36022
37057,"Davidson County, North Carolina",163689
37059,"Davie County, North Carolina",41936
37061,"Duplin County, North Carolina",58571
37063,"Durham County, North Carolina",306362
37065,"Edgecombe County, North Carolina",52117
37067,"Forsyth County, North Carolina",372038
37069,"Franklin County, North Carolina",65468
37071,"Gaston County, North Carolina",217088
37073,"Gates County, North Carolina",11493
37075,"Graham County, North Carolina",8402
37077,"Granville County, North Carolina",56456
37079,"Greene County, North Carolina",18673
37081,"Guilford County, North Carolina",523811
37083,"Halifax County, North Carolina",49917
37085,"Harnett County, North Carolina",126281
37087,"Haywood County, North Carolina",60596
37089,"Henderson County, North Carolina",113773
37091,"Hertford County, North Carolina",22534
37093,"Hoke County, North Carolina",50096
37095,"Hyde County, North Carolina",4626
37097,"Iredell County, North Carolina",174408
37099,"Jackson County, North Carolina",42722
37101,"Johnston County, North Carolina",195340
37103,"Jones County, North Carolina",9527
37105,"Lee County, North Carolina",59339
37107,"Lenoir County, North Carolina",55509
37109,"Lincoln County, North Carolina",82293
37111,"McDowell County, North Carolina",44328
37113,"Macon County, North Carolina",34625
37115,"Madison County, North Carolina",21263
37117,"Martin County, North Carolina",22698
37119,"Mecklenburg County, North Carolina",1069233
37121,"Mitchell County, North Carolina",14897
37123,"Montgomery County, North Carolina",26174
37125,"Moore County, North Carolina",93620
37127,"Nash County, North Carolina",92736
37129,"New Hanover County, North Carolina",225237
37131,"Northampton County, North Carolina",19111
37133,"Onslow County, North Carolina",157477
37135,"Orange County, North Carolina",144191
37137,"Pamlico County, North Carolina",11977
37139,"Pasquotank County, North Carolina",37957
37141,"Pender County, North Carolina",58921
37143,"Perquimans County, North Carolina",13274
37145,"Person County, North Carolina",38957
37147,"Pitt County, North Carolina",177203
37149,"Polk County, North Carolina",20272
37151,"Randolph County, North Carolina",141792
37153,"Richmond County, North Carolina",43619
37155,"Robeson County, North Carolina",130886
37157,"Rockingham County, North Carolina",89945
37159,"Rowan County, North Carolina",137980
37161,"Rutherford County, North Carolina",65610
37163,"Sampson County, North Carolina",62713
37165,"Scotland County, North Carolina",33249
37167,"Stanly County, North Carolina",60203
37169,"Stokes County, North Carolina",45305
37171,"Surry County, North Carolina",71158
37173,"Swain County, North Carolina",14079
37175,"Transylvania County, North Carolina",33285
37177,"Tyrrell County, North Carolina",3356
37179,"Union County, North Carolina",229942
37181,"Vance County, North Carolina",44052
37183,"Wake County, North Carolina",1061002
37185,"Warren County, North Carolina",19012
37187,"Washington County, North Carolina",11759
37189,"Watauga County, North Carolina",54623
37191,"Wayne County, North Carolina",119247
37193,"Wilkes County, North Carolina",67621
37195,"Wilson County, North Carolina",80405
37197,"Yadkin County, North Carolina",37326
37199,"Yancey County, North Carolina",17589